geneId	SM_CLUSTER	SM_ID	SM_CLUSTER_VALIDATION
AN1026	Asperfuranone (afo) cluster	cluster_01	known
AN1027	Asperfuranone (afo) cluster	cluster_01	known
AN1028	Asperfuranone (afo) cluster	cluster_01	known
AN1029	Asperfuranone (afo) cluster	cluster_01	known
AN1030	Asperfuranone (afo) cluster	cluster_01	known
AN1031	Asperfuranone (afo) cluster	cluster_01	known
AN1032	Asperfuranone (afo) cluster	cluster_01	known
AN1033	Asperfuranone (afo) cluster	cluster_01	known
AN1034	Asperfuranone (afo) cluster	cluster_01	known
AN1035	Asperfuranone (afo) cluster	cluster_01	known
AN11287	Asperfuranone (afo) cluster	cluster_01	known
AN1036	Asperfuranone (afo) cluster	cluster_01	known
AN1037	Asperfuranone (afo) cluster	cluster_01	known
AN11288	Asperfuranone (afo) cluster	cluster_01	known
AN1038	Asperfuranone (afo) cluster	cluster_01	known
AN1039	Asperfuranone (afo) cluster	cluster_01	known
AN1040	Asperfuranone (afo) cluster	cluster_01	known
AN5990	Asperthecin cluster	cluster_02	known
AN5991	Asperthecin cluster	cluster_02	known
AN5992	Asperthecin cluster	cluster_02	known
AN5993	Asperthecin cluster	cluster_02	known
AN5994	Asperthecin cluster	cluster_02	known
AN5995	Asperthecin cluster	cluster_02	known
AN5996	Asperthecin cluster	cluster_02	known
AN5997	Asperthecin cluster	cluster_02	known
AN5998	Asperthecin cluster	cluster_02	known
AN5999	Asperthecin cluster	cluster_02	known
AN6000	Asperthecin cluster	cluster_02	known
AN6001	Asperthecin cluster	cluster_02	known
AN6002	Asperthecin cluster	cluster_02	known
AN6003	Asperthecin cluster	cluster_02	known
AN12262	Asperthecin cluster	cluster_02	known
AN6004	Asperthecin cluster	cluster_02	known
AN6005	Asperthecin cluster	cluster_02	known
AN6006	Asperthecin cluster	cluster_02	known
AN6007	Asperthecin cluster	cluster_02	known
AN6009	Asperthecin cluster	cluster_02	known
AN8398	Aspyridone (asp) cluster	cluster_03	known
AN8399	Aspyridone (asp) cluster	cluster_03	known
AN8400	Aspyridone (asp) cluster	cluster_03	known
AN8401	Aspyridone (asp) cluster	cluster_03	known
AN8402	Aspyridone (asp) cluster	cluster_03	known
AN8403	Aspyridone (asp) cluster	cluster_03	known
AN8404	Aspyridone (asp) cluster	cluster_03	known
AN8405	Aspyridone (asp) cluster	cluster_03	known
AN8406	Aspyridone (asp) cluster	cluster_03	known
AN8407	Aspyridone (asp) cluster	cluster_03	known
AN8408	Aspyridone (asp) cluster	cluster_03	known
AN8409	Aspyridone (asp) cluster	cluster_03	known
AN8410	Aspyridone (asp) cluster	cluster_03	known
AN8411	Aspyridone (asp) cluster	cluster_03	known
AN8412	Aspyridone (asp) cluster	cluster_03	known
AN8413	Aspyridone (asp) cluster	cluster_03	known
AN8414	Aspyridone (asp) cluster	cluster_03	known
AN11872	Aspyridone (asp) cluster	cluster_03	known
AN8415	Aspyridone (asp) cluster	cluster_03	known
AN8416	Aspyridone (asp) cluster	cluster_03	known
AN8417	Aspyridone (asp) cluster	cluster_03	known
AN8418	Aspyridone (asp) cluster	cluster_03	known
AN11609	Aspyridone (asp) cluster	cluster_03	known
AN11817	Austinol (aus) AN9244 cluster	cluster_04	known
AN9241	Austinol (aus) AN9244 cluster	cluster_04	known
AN9242	Austinol (aus) AN9244 cluster	cluster_04	known
AN9243	Austinol (aus) AN9244 cluster	cluster_04	known
AN9244	Austinol (aus) AN9244 cluster	cluster_04	known
AN9245	Austinol (aus) AN9244 cluster	cluster_04	known
AN9246	Austinol (aus) AN9244 cluster	cluster_04	known
AN9247	Austinol (aus) AN9244 cluster	cluster_04	known
AN9248	Austinol (aus) AN9244 cluster	cluster_04	known
AN9249	Austinol (aus) AN9244 cluster	cluster_04	known
AN9250	Austinol (aus) AN9244 cluster	cluster_04	known
AN9251	Austinol (aus) AN9244 cluster	cluster_04	known
AN9252	Austinol (aus) AN9244 cluster	cluster_04	known
AN9253	Austinol (aus) AN9244 cluster	cluster_04	known
AN9254	Austinol (aus) AN9244 cluster	cluster_04	known
AN8377	Austinol (aus) cluster	cluster_05	known
AN8378	Austinol (aus) cluster	cluster_05	known
AN12376	Austinol (aus) cluster	cluster_05	known
AN8379	Austinol (aus) cluster	cluster_05	known
AN8381	Austinol (aus) cluster	cluster_05	known
AN11871	Austinol (aus) cluster	cluster_05	known
AN8382	Austinol (aus) cluster	cluster_05	known
AN8383	Austinol (aus) cluster	cluster_05	known
AN8384	Austinol (aus) cluster	cluster_05	known
AN8385	Austinol (aus) cluster	cluster_05	known
AN11077	Austinol (aus) cluster	cluster_05	known
AN11085	Austinol (aus) cluster	cluster_05	known
AN8387	Austinol (aus) cluster	cluster_05	known
AN8388	Austinol (aus) cluster	cluster_05	known
AN8389	Austinol (aus) cluster	cluster_05	known
AN8390	Austinol (aus) cluster	cluster_05	known
AN8391	Austinol (aus) cluster	cluster_05	known
AN8392	Austinol (aus) cluster	cluster_05	known
AN8393	Austinol (aus) cluster	cluster_05	known
AN8394	Austinol (aus) cluster	cluster_05	known
AN8395	Austinol (aus) cluster	cluster_05	known
AN7895	DBA and F9775 hybrid cluster 1 	cluster_06	known
AN7896	DBA and F9775 hybrid cluster 1 	cluster_06	known
AN7897	DBA and F9775 hybrid cluster 1 	cluster_06	known
AN11584	DBA and F9775 hybrid cluster 1 	cluster_06	known
AN7898	DBA and F9775 hybrid cluster 1 	cluster_06	known
AN7899	DBA and F9775 hybrid cluster 1 	cluster_06	known
AN7900	DBA and F9775 hybrid cluster 1 	cluster_06	known
AN7901	DBA and F9775 hybrid cluster 1 	cluster_06	known
AN7902	DBA and F9775 hybrid cluster 1 	cluster_06	known
AN7903	DBA and F9775 hybrid cluster 1 	cluster_06	known
AN7904	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7905	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7906	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7907	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7908	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7909	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7911	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7912	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7913	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7914	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7915	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7916	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7917	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7918	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7919	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7920	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7921	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7922	DBA and F9775 hybrid cluster 2	cluster_07	known
AN7923	DBA and F9775 hybrid cluster 2	cluster_07	known
AN2538	Emericellamide (eas) cluster	cluster_08	known
AN12472	Emericellamide (eas) cluster	cluster_08	known
AN2540	Emericellamide (eas) cluster	cluster_08	known
AN2541	Emericellamide (eas) cluster	cluster_08	known
AN2542	Emericellamide (eas) cluster	cluster_08	known
AN2543	Emericellamide (eas) cluster	cluster_08	known
AN2544	Emericellamide (eas) cluster	cluster_08	known
AN2545	Emericellamide (eas) cluster	cluster_08	known
AN2546	Emericellamide (eas) cluster	cluster_08	known
AN2547	Emericellamide (eas) cluster	cluster_08	known
AN2548	Emericellamide (eas) cluster	cluster_08	known
AN2549	Emericellamide (eas) cluster	cluster_08	known
AN2550	Emericellamide (eas) cluster	cluster_08	known
AN10325	Emericellamide (eas) cluster	cluster_08	known
AN10319	Emericellamide (eas) cluster	cluster_08	known
AN10320	Emericellamide (eas) cluster	cluster_08	known
AN10326	Emericellamide (eas) cluster	cluster_08	known
AN2553	Emericellamide (eas) cluster	cluster_08	known
AN3484	inp cluster	cluster_09	known
AN3485	inp cluster	cluster_09	known
AN12191	inp cluster	cluster_09	known
AN3486	inp cluster	cluster_09	known
AN3487	inp cluster	cluster_09	known
AN3488	inp cluster	cluster_09	known
AN3489	inp cluster	cluster_09	known
AN3490	inp cluster	cluster_09	known
AN3491	inp cluster	cluster_09	known
AN3492	inp cluster	cluster_09	known
AN3493	inp cluster	cluster_09	known
AN3494	inp cluster	cluster_09	known
AN3495	inp cluster	cluster_09	known
AN3496	inp cluster	cluster_09	known
AN3497	inp cluster	cluster_09	known
AN3498	inp cluster	cluster_09	known
AN3499	inp cluster	cluster_09	known
AN3500	inp cluster	cluster_09	known
AN3501	inp cluster	cluster_09	known
AN3502	inp cluster	cluster_09	known
AN3503	inp cluster	cluster_09	known
AN3504	inp cluster	cluster_09	known
AN3505	inp cluster	cluster_09	known
AN3506	inp cluster	cluster_09	known
AN4637	ivo cluster	cluster_10	known
AN12164	ivo cluster	cluster_10	known
AN4638	ivo cluster	cluster_10	known
AN4639	ivo cluster	cluster_10	known
AN4640	ivo cluster	cluster_10	known
AN10576	ivo cluster	cluster_10	known
AN10573	ivo cluster	cluster_10	known
AN4642	ivo cluster	cluster_10	known
AN4643	ivo cluster	cluster_10	known
AN4644	ivo cluster	cluster_10	known
AN4645	ivo cluster	cluster_10	known
AN4646	ivo cluster	cluster_10	known
AN4647	ivo cluster	cluster_10	known
AN4648	ivo cluster	cluster_10	known
AN4649	ivo cluster	cluster_10	known
AN3391	Microperfuranone cluster	cluster_11	known
AN3392	Microperfuranone cluster	cluster_11	known
AN3393	Microperfuranone cluster	cluster_11	known
AN11836	Microperfuranone cluster	cluster_11	known
AN3394	Microperfuranone cluster	cluster_11	known
AN3395	Microperfuranone cluster	cluster_11	known
AN3396	Microperfuranone cluster	cluster_11	known
AN3397	Microperfuranone cluster	cluster_11	known
AN3398	Microperfuranone cluster	cluster_11	known
AN3399	Microperfuranone cluster	cluster_11	known
AN3400	Microperfuranone cluster	cluster_11	known
AN3402	Microperfuranone cluster	cluster_11	known
AN3403	Microperfuranone cluster	cluster_11	known
AN3404	Microperfuranone cluster	cluster_11	known
AN3405	Microperfuranone cluster	cluster_11	known
AN3406	Microperfuranone cluster	cluster_11	known
AN3407	Microperfuranone cluster	cluster_11	known
AN3408	Microperfuranone cluster	cluster_11	known
AN11846	Monodictyphenone (mdp) cluster	cluster_12	known
AN9540	Monodictyphenone (mdp) cluster	cluster_12	known
AN10039	Monodictyphenone (mdp) cluster	cluster_12	known
AN10021	Monodictyphenone (mdp) cluster	cluster_12	known
AN10049	Monodictyphenone (mdp) cluster	cluster_12	known
AN0146	Monodictyphenone (mdp) cluster	cluster_12	known
AN0147	Monodictyphenone (mdp) cluster	cluster_12	known
AN0148	Monodictyphenone (mdp) cluster	cluster_12	known
AN0149	Monodictyphenone (mdp) cluster	cluster_12	known
AN0150	Monodictyphenone (mdp) cluster	cluster_12	known
AN10022	Monodictyphenone (mdp) cluster	cluster_12	known
AN10035	Monodictyphenone (mdp) cluster	cluster_12	known
AN10038	Monodictyphenone (mdp) cluster	cluster_12	known
AN10044	Monodictyphenone (mdp) cluster	cluster_12	known
AN10023	Monodictyphenone (mdp) cluster	cluster_12	known
AN0153	Monodictyphenone (mdp) cluster	cluster_12	known
AN0154	Monodictyphenone (mdp) cluster	cluster_12	known
AN10037	Monodictyphenone (mdp) cluster	cluster_12	known
AN10036	Monodictyphenone (mdp) cluster	cluster_12	known
AN10024	Monodictyphenone (mdp) cluster	cluster_12	known
AN0156	Monodictyphenone (mdp) cluster	cluster_12	known
AN0157	Monodictyphenone (mdp) cluster	cluster_12	known
AN0158	Monodictyphenone (mdp) cluster	cluster_12	known
AN2616	Penicillin cluster	cluster_13	known
AN2617	Penicillin cluster	cluster_13	known
AN2618	Penicillin cluster	cluster_13	known
AN12325	Penicillin cluster	cluster_13	known
AN2619	Penicillin cluster	cluster_13	known
AN12326	Penicillin cluster	cluster_13	known
AN12327	Penicillin cluster	cluster_13	known
AN2621	Penicillin cluster	cluster_13	known
AN2622	Penicillin cluster	cluster_13	known
AN2623	Penicillin cluster	cluster_13	known
AN2624	Penicillin cluster	cluster_13	known
AN12328	Penicillin cluster	cluster_13	known
AN2625	Penicillin cluster	cluster_13	known
AN2626	Penicillin cluster	cluster_13	known
AN10329	Penicillin cluster	cluster_13	known
AN6436	pkb cluster	cluster_14	known
AN6437	pkb cluster	cluster_14	known
AN6438	pkb cluster	cluster_14	known
AN6439	pkb cluster	cluster_14	known
AN6440	pkb cluster	cluster_14	known
AN6441	pkb cluster	cluster_14	known
AN11920	pkb cluster	cluster_14	known
AN11921	pkb cluster	cluster_14	known
AN6443	pkb cluster	cluster_14	known
AN6444	pkb cluster	cluster_14	known
AN6445	pkb cluster	cluster_14	known
AN6446	pkb cluster	cluster_14	known
AN6447	pkb cluster	cluster_14	known
AN11922	pkb cluster	cluster_14	known
AN6448	pkb cluster	cluster_14	known
AN6449	pkb cluster	cluster_14	known
AN6450	pkb cluster	cluster_14	known
AN6451	pkb cluster	cluster_14	known
AN10104	pkdA cluster	cluster_15	known
AN0517	pkdA cluster	cluster_15	known
AN0518	pkdA cluster	cluster_15	known
AN0519	pkdA cluster	cluster_15	known
AN11742	pkdA cluster	cluster_15	known
AN0520	pkdA cluster	cluster_15	known
AN0521	pkdA cluster	cluster_15	known
AN0522	pkdA cluster	cluster_15	known
AN0523	pkdA cluster	cluster_15	known
AN0524	pkdA cluster	cluster_15	known
AN0525	pkdA cluster	cluster_15	known
AN0526	pkdA cluster	cluster_15	known
AN0527	pkdA cluster	cluster_15	known
AN0528	pkdA cluster	cluster_15	known
AN0529	pkdA cluster	cluster_15	known
AN0530	pkdA cluster	cluster_15	known
AN0531	pkdA cluster	cluster_15	known
AN0532	pkdA cluster	cluster_15	known
AN0533	pkdA cluster	cluster_15	known
AN0534	pkdA cluster	cluster_15	known
AN3217	pkf cluster	cluster_16	known
AN3218	pkf cluster	cluster_16	known
AN3219	pkf cluster	cluster_16	known
AN3220	pkf cluster	cluster_16	known
AN3221	pkf cluster	cluster_16	known
AN3222	pkf cluster	cluster_16	known
AN3223	pkf cluster	cluster_16	known
AN3224	pkf cluster	cluster_16	known
AN3225	pkf cluster	cluster_16	known
AN3226	pkf cluster	cluster_16	known
AN3227	pkf cluster	cluster_16	known
AN3228	pkf cluster	cluster_16	known
AN3229	pkf cluster	cluster_16	known
AN3230	pkf cluster	cluster_16	known
AN12183	pkf cluster	cluster_16	known
AN3231	pkf cluster	cluster_16	known
AN3232	pkf cluster	cluster_16	known
AN3233	pkf cluster	cluster_16	known
AN3234	pkf cluster	cluster_16	known
AN3235	pkf cluster	cluster_16	known
AN3236	pkf cluster	cluster_16	known
AN3237	pkf cluster	cluster_16	known
AN12184	pkf cluster	cluster_16	known
AN3238	pkf cluster	cluster_16	known
AN7059	pkg cluster	cluster_17	known
AN7060	pkg cluster	cluster_17	known
AN7061	pkg cluster	cluster_17	known
AN7062	pkg cluster	cluster_17	known
AN7063	pkg cluster	cluster_17	known
AN7064	pkg cluster	cluster_17	known
AN10883	pkg cluster	cluster_17	known
AN10888	pkg cluster	cluster_17	known
AN7066	pkg cluster	cluster_17	known
AN7067	pkg cluster	cluster_17	known
AN7068	pkg cluster	cluster_17	known
AN10889	pkg cluster	cluster_17	known
AN10884	pkg cluster	cluster_17	known
AN7070	pkg cluster	cluster_17	known
AN7071	pkg cluster	cluster_17	known
AN7072	pkg cluster	cluster_17	known
AN7073	pkg cluster	cluster_17	known
AN7074	pkg cluster	cluster_17	known
AN7075	pkg cluster	cluster_17	known
AN7076	pkg cluster	cluster_17	known
AN7077	pkg cluster	cluster_17	known
AN7078	pkg cluster	cluster_17	known
AN2029	pkh cluster	cluster_18	known
