geneId	GO_id
B9J08_000002	GO:0005737
B9J08_000002	GO:0016021
B9J08_000002	GO:0015343
B9J08_000002	GO:0015891
B9J08_000002	GO:0033214
B9J08_000002	GO:0055085
B9J08_000003	GO:0016021
B9J08_000003	GO:0046873
B9J08_000003	GO:0030001
B9J08_000003	GO:0055085
B9J08_000004	GO:0016021
B9J08_000004	GO:0046873
B9J08_000004	GO:0030001
B9J08_000004	GO:0055085
B9J08_000007	GO:0044424
B9J08_000007	GO:0006810
B9J08_000007	GO:0019216
B9J08_000007	GO:0031323
B9J08_000008	GO:0005886
B9J08_000008	GO:0016021
B9J08_000008	GO:0000293
B9J08_000008	GO:0006826
B9J08_000008	GO:0015677
B9J08_000008	GO:0055114
B9J08_000009	GO:0016021
B9J08_000009	GO:0008120
B9J08_000009	GO:0006679
B9J08_000009	GO:0009405
B9J08_000009	GO:0030447
B9J08_000010	GO:0005739
B9J08_000010	GO:0005777
B9J08_000010	GO:0004092
B9J08_000010	GO:0006084
B9J08_000010	GO:0006635
B9J08_000010	GO:0009405
B9J08_000010	GO:0009437
B9J08_000010	GO:0044011
B9J08_000010	GO:0045333
B9J08_000011	GO:0000329
B9J08_000011	GO:0000407
B9J08_000011	GO:0005634
B9J08_000011	GO:0019898
B9J08_000011	GO:0032947
B9J08_000011	GO:0000422
B9J08_000011	GO:0030242
B9J08_000011	GO:0031142
B9J08_000011	GO:0032258
B9J08_000011	GO:0034497
B9J08_000011	GO:0034727
B9J08_000012	GO:0005829
B9J08_000012	GO:0000287
B9J08_000012	GO:0004749
B9J08_000012	GO:0016301
B9J08_000012	GO:0009156
B9J08_000012	GO:0009165
B9J08_000012	GO:0016310
B9J08_000013	GO:0004160
B9J08_000013	GO:0009082
B9J08_000015	GO:0004410
B9J08_000015	GO:0019878
B9J08_000016	GO:0005783
B9J08_000016	GO:0005794
B9J08_000016	GO:0005886
B9J08_000016	GO:0016021
B9J08_000016	GO:0007165
B9J08_000017	GO:0004725
B9J08_000017	GO:0008138
B9J08_000017	GO:0035335
B9J08_000018	GO:0000139
B9J08_000018	GO:0005768
B9J08_000018	GO:0016021
B9J08_000018	GO:0030137
B9J08_000018	GO:0000287
B9J08_000018	GO:0004012
B9J08_000018	GO:0005524
B9J08_000018	GO:0006890
B9J08_000018	GO:0006897
B9J08_000018	GO:0007033
B9J08_000018	GO:0045332
B9J08_000020	GO:0005754
B9J08_000020	GO:0042645
B9J08_000020	GO:0005524
B9J08_000020	GO:0046933
B9J08_000020	GO:0046961
B9J08_000020	GO:0015986
B9J08_000020	GO:0015991
B9J08_000023	GO:0005576
B9J08_000023	GO:0005618
B9J08_000023	GO:0005829
B9J08_000023	GO:0004177
B9J08_000023	GO:0008237
B9J08_000023	GO:0008270
B9J08_000023	GO:0006508
B9J08_000025	GO:0000993
B9J08_000025	GO:0003755
B9J08_000025	GO:0042802
B9J08_000025	GO:0000083
B9J08_000025	GO:0000117
B9J08_000025	GO:0000122
B9J08_000025	GO:0000413
B9J08_000025	GO:0006369
B9J08_000025	GO:0009267
B9J08_000025	GO:0009405
B9J08_000025	GO:0031064
B9J08_000025	GO:0034605
B9J08_000025	GO:0035307
B9J08_000025	GO:0036168
B9J08_000025	GO:0036170
B9J08_000025	GO:0036180
B9J08_000025	GO:0045899
B9J08_000025	GO:0080182
B9J08_000025	GO:1901407
B9J08_000025	GO:2000059
B9J08_000025	GO:2000749
B9J08_000026	GO:0005634
B9J08_000026	GO:0005737
B9J08_000026	GO:0004017
B9J08_000026	GO:0004127
B9J08_000026	GO:0005524
B9J08_000026	GO:0009041
B9J08_000026	GO:0006207
B9J08_000026	GO:0006221
B9J08_000026	GO:0046939
B9J08_000027	GO:0016491
B9J08_000027	GO:0055114
B9J08_000028	GO:0005634
B9J08_000028	GO:0005829
B9J08_000028	GO:0031251
B9J08_000028	GO:0004672
B9J08_000028	GO:0005524
B9J08_000028	GO:0046872
B9J08_000028	GO:0000289
B9J08_000028	GO:0006301
B9J08_000028	GO:0006397
B9J08_000028	GO:0006468
B9J08_000028	GO:0090503
B9J08_000029	GO:0044182
B9J08_000031	GO:0005634
B9J08_000031	GO:0006334
B9J08_000032	GO:0005779
B9J08_000032	GO:0005524
B9J08_000032	GO:0042626
B9J08_000032	GO:0006635
B9J08_000032	GO:0015910
B9J08_000032	GO:0015916
B9J08_000032	GO:0042758
B9J08_000032	GO:0042760
B9J08_000032	GO:0055085
B9J08_000033	GO:0016021
B9J08_000033	GO:0055085
B9J08_000034	GO:0005743
B9J08_000034	GO:0016021
B9J08_000034	GO:0000227
B9J08_000034	GO:0008271
B9J08_000034	GO:0034658
B9J08_000034	GO:1901239
B9J08_000034	GO:0034659
B9J08_000034	GO:1902356
B9J08_000034	GO:1902358
B9J08_000037	GO:0005758
B9J08_000037	GO:0004222
B9J08_000037	GO:0008270
B9J08_000037	GO:0051603
B9J08_000038	GO:0005762
B9J08_000038	GO:0003735
B9J08_000038	GO:0032543
B9J08_000039	GO:0005789
B9J08_000039	GO:0005794
B9J08_000039	GO:0005886
B9J08_000039	GO:0016021
B9J08_000039	GO:0030134
B9J08_000039	GO:0006888
B9J08_000042	GO:0016829
B9J08_000042	GO:0030170
B9J08_000042	GO:0006520
B9J08_000044	GO:0000781
B9J08_000044	GO:0005634
B9J08_000044	GO:0031151
B9J08_000044	GO:0031493
B9J08_000044	GO:0000725
B9J08_000044	GO:0006301
B9J08_000044	GO:0006348
B9J08_000044	GO:0031573
B9J08_000044	GO:0034729
B9J08_000044	GO:0044783
B9J08_000044	GO:0051598
B9J08_000044	GO:0070911
B9J08_000045	GO:0016589
B9J08_000045	GO:0003677
B9J08_000045	GO:0004386
B9J08_000045	GO:0005524
B9J08_000045	GO:0016887
B9J08_000045	GO:0031491
B9J08_000045	GO:0001410
B9J08_000045	GO:0030447
B9J08_000045	GO:0035690
B9J08_000045	GO:0043044
B9J08_000045	GO:0071280
B9J08_000046	GO:0005634
B9J08_000046	GO:0005739
B9J08_000046	GO:0004844
B9J08_000046	GO:0006284
B9J08_000047	GO:0008250
B9J08_000047	GO:0016021
B9J08_000047	GO:0004579
B9J08_000047	GO:0006461
B9J08_000047	GO:0018279
B9J08_000048	GO:0000329
B9J08_000048	GO:0005794
B9J08_000048	GO:0016021
B9J08_000049	GO:0006078
B9J08_000049	GO:0036180
B9J08_000049	GO:0042546
B9J08_000049	GO:0097237
B9J08_000050	GO:0006078
B9J08_000050	GO:0036180
B9J08_000050	GO:0042546
B9J08_000050	GO:0097237
B9J08_000051	GO:0000262
B9J08_000051	GO:0005634
B9J08_000051	GO:0003690
B9J08_000051	GO:0003697
B9J08_000051	GO:0000002
B9J08_000051	GO:0000725
B9J08_000051	GO:0000733
B9J08_000051	GO:0035690
B9J08_000051	GO:0036297
B9J08_000052	GO:0005744
B9J08_000052	GO:0016021
B9J08_000052	GO:0015450
B9J08_000052	GO:0006886
B9J08_000052	GO:0071806
B9J08_000053	GO:0005742
B9J08_000053	GO:0031307
B9J08_000053	GO:0030943
B9J08_000053	GO:0016031
B9J08_000053	GO:0030150
B9J08_000053	GO:0070096
B9J08_000054	GO:0009277
B9J08_000054	GO:0016021
B9J08_000054	GO:0046658
B9J08_000054	GO:0004338
B9J08_000054	GO:0005975
B9J08_000055	GO:0004412
B9J08_000055	GO:0050661
B9J08_000055	GO:0009086
B9J08_000055	GO:0009088
B9J08_000055	GO:0009090
B9J08_000055	GO:0009097
B9J08_000055	GO:0055114
B9J08_000056	GO:0097042
B9J08_000056	GO:1990130
B9J08_000056	GO:0005096
B9J08_000056	GO:0035556
B9J08_000056	GO:0043547
B9J08_000056	GO:2000785
B9J08_000057	GO:0004359
B9J08_000057	GO:0042823
B9J08_000058	GO:0005829
B9J08_000058	GO:0003824
B9J08_000058	GO:0008615
B9J08_000058	GO:0042823
B9J08_000059	GO:0005777
B9J08_000059	GO:0016020
B9J08_000060	GO:0005622
B9J08_000060	GO:0005933
B9J08_000060	GO:0005085
B9J08_000060	GO:0007264
B9J08_000060	GO:0016192
B9J08_000060	GO:0043547
B9J08_000061	GO:0030686
B9J08_000061	GO:0030688
B9J08_000061	GO:0000056
B9J08_000061	GO:0000462
B9J08_000062	GO:0000790
B9J08_000062	GO:0005730
B9J08_000062	GO:0032545
B9J08_000062	GO:0001225
B9J08_000062	GO:0001226
B9J08_000062	GO:0003700
B9J08_000062	GO:0043565
B9J08_000062	GO:0070491
B9J08_000062	GO:0006351
B9J08_000062	GO:0010688
B9J08_000062	GO:0060963
B9J08_000063	GO:0005635
B9J08_000063	GO:0005829
B9J08_000063	GO:0005839
B9J08_000063	GO:0004298
B9J08_000063	GO:0051603
B9J08_000064	GO:0005840
B9J08_000064	GO:0003735
B9J08_000064	GO:0006412
B9J08_000065	GO:0006397
B9J08_000067	GO:0005622
B9J08_000067	GO:0003785
B9J08_000067	GO:0051015
B9J08_000067	GO:0030042
B9J08_000067	GO:0042989
B9J08_000067	GO:0044396
B9J08_000067	GO:0051014
B9J08_000071	GO:0032126
B9J08_000071	GO:0070941
B9J08_000072	GO:0016021
B9J08_000073	GO:0005743
B9J08_000073	GO:0016021
B9J08_000073	GO:0006067
B9J08_000074	GO:0000159
B9J08_000074	GO:0000776
B9J08_000074	GO:0000780
B9J08_000074	GO:0005816
B9J08_000074	GO:0005935
B9J08_000074	GO:0006470
B9J08_000074	GO:0007165
B9J08_000074	GO:0031107
B9J08_000074	GO:0031134
B9J08_000074	GO:0031578
B9J08_000074	GO:0032186
B9J08_000074	GO:0050790
B9J08_000074	GO:0051754
B9J08_000074	GO:0070199
B9J08_000075	GO:0005829
B9J08_000075	GO:0000166
B9J08_000075	GO:0003938
B9J08_000075	GO:0046872
B9J08_000075	GO:0006177
B9J08_000075	GO:0009267
B9J08_000075	GO:0035690
B9J08_000075	GO:0036170
B9J08_000075	GO:0036180
B9J08_000075	GO:0044416
B9J08_000075	GO:0055114
B9J08_000076	GO:0005634
B9J08_000076	GO:0005829
B9J08_000076	GO:0030479
B9J08_000076	GO:0032153
B9J08_000076	GO:0051286
B9J08_000076	GO:0051015
B9J08_000076	GO:0000281
B9J08_000076	GO:0051764
B9J08_000077	GO:0005730
B9J08_000077	GO:0005829
B9J08_000077	GO:0030687
B9J08_000077	GO:0003676
B9J08_000077	GO:0000463
B9J08_000077	GO:0000466
B9J08_000078	GO:0005886
B9J08_000078	GO:0016021
B9J08_000078	GO:0045121
B9J08_000078	GO:0006950
B9J08_000078	GO:0034204
B9J08_000078	GO:0035690
B9J08_000078	GO:0046519
B9J08_000079	GO:0003677
B9J08_000080	GO:0016021
B9J08_000081	GO:0010494
B9J08_000081	GO:0000166
B9J08_000081	GO:0003676
B9J08_000082	GO:0005634
B9J08_000082	GO:0005829
B9J08_000082	GO:0003924
B9J08_000082	GO:0005525
B9J08_000082	GO:0007264
B9J08_000082	GO:0010972
B9J08_000082	GO:0016973
B9J08_000082	GO:0051276
B9J08_000083	GO:0000243
B9J08_000083	GO:0005685
B9J08_000083	GO:0071004
B9J08_000083	GO:0003729
B9J08_000083	GO:0030627
B9J08_000083	GO:0000395
B9J08_000084	GO:0015078
B9J08_000084	GO:0019829
B9J08_000084	GO:0044769
B9J08_000084	GO:0007005
B9J08_000086	GO:0016021
B9J08_000087	GO:0000784
B9J08_000087	GO:0005656
