CAuris_id	blastx_summary	hasOrtholog	true_calb_ortho	ortho_source	ORF19_ID	CGD_ID	CGD_GENE_NAME
B9J08_001899	transporter; metal; abc; yjm; resistance; multidrug; ycf; resistanceassociated; bptp; ycfp	TRUE	CAL0002485	orthoMCL_blastx	orf19.5100	CAL0000178329	MLT1
B9J08_002146	metal; transporter; abc; resistance; ycf; resistanceassociated; fusarium; multidrug; ion; ycfp	TRUE	CAL0002291	orthoMCL_blastx	orf19.6478	CAL0000179549	YCF1
B9J08_003323	transporter; abc; yor; atpdependent; oligomycin; resistance; permease; atpbinding; cassette; yorp	TRUE	CAL0000963	orthoMCL_blastx	orf19.1783	CAL0000195863	YOR1
B9J08_003808	transporter; abc; yor; atpdependent; oligomycin; resistance; permease; atpbinding; cassette; multidrug	TRUE	CAL0000963	orthoMCL_blastx	orf19.1783	CAL0000195863	YOR1
B9J08_003832	transporter; abc; yor; atpdependent; oligomycin; resistance; permease; multidrug; yorp; yjm	TRUE	CAL0000963	orthoMCL_blastx	orf19.1783	CAL0000195863	YOR1
B9J08_004430	bile; acid; atpdependent; permease; yjm; abc; transporter; vmrp; ybtp; penicillium	TRUE	CAL0002291	orthoMCL	orf19.6478	CAL0000179549	YCF1
B9J08_004430	bile; acid; atpdependent; permease; yjm; abc; transporter; vmrp; ybtp; penicillium	TRUE	CAL0002485	orthoMCL	orf19.5100	CAL0000178329	MLT1
B9J08_004430	bile; acid; atpdependent; permease; yjm; abc; transporter; vmrp; ybtp; penicillium	TRUE	CAL0001399	orthoMCL	orf19.6382	CAL0000183742	
B9J08_004430	bile; acid; atpdependent; permease; yjm; abc; transporter; vmrp; ybtp; penicillium	TRUE	CAL0000963	orthoMCL	orf19.1783	CAL0000195863	YOR1
B9J08_004913	transporter; abc; family; member; like; yjm; multidrug; resistanceassociated; bptp; resistance	TRUE	CAL0001399	orthoMCL_blastx	orf19.6382	CAL0000183742	
B9J08_000102	shock; heat; ssb; hsplike; hsp; chaperone; penicillium; family; hsca; pseudogymnoascus	TRUE	CAL0001367	orthoMCL_blastx	orf19.6367	CAL0000194973	SSB1
B9J08_000276	shock; heat; mitochondrial; hsplike; ssc; kda; hsp; chaperone; precursor; yjm	TRUE	CAL0003092	orthoMCL_blastx	orf19.7179	CAL0000196728	
B9J08_000483	shock; heat; ssap; hsplike; yjm; ssa; kda; hsp; hss; lachancea	TRUE	CAL0000006	orthoMCL_blastx	orf19.4980	CAL0000184706	HSP70
B9J08_002819	glucoseregulated; chaperone; kda; heat; shock; hsp; dnak; bip; molecular; penicillium	TRUE	CAL0004332	orthoMCL_blastx	orf19.2013	CAL0000199653	KAR2
B9J08_003364	shock; heat; hsplike; ssap; yjm; kda; ssa; hsp; lachancea; family	TRUE	CAL0001208	orthoMCL_blastx	orf19.1065	CAL0000184853	SSA2
B9J08_000188	helicase; rna; factor; atpdependent; prp; premrnasplicing; splicing; premrna; containing; hydrolase	TRUE	CAL0000153	orthoMCL_blastx	orf19.1687	CAL0000191988	
B9J08_001476	helicase; rna; atpdependent; factor; prp; dhx; premrnasplicing; dhxprp; prpp; yjm	TRUE	CAL0004768	orthoMCL_blastx	orf19.4033	CAL0000197565	PRP22
B9J08_001716	rna; factor; atpdependent; helicase; premrnasplicing; dhx; splicing; cdc; helicaselike; prp	TRUE	CAL0002409	orthoMCL_blastx	orf19.5865	CAL0000186259	
B9J08_004094	helicase; rna; factor; atpdependent; prp; premrnasplicing; splicing; premrna; penicillium; adenosinetriphosphatase	TRUE	CAL0005059	orthoMCL_blastx	orf19.2818	CAL0000193710	
B9J08_000969	atpase; ptype; sodium; efflux; potassiumsodium; fungaltype; enap; yjm; transport; penicillium	TRUE	CAL0005183	orthoMCL_blastx	orf19.6070	CAL0000188030	ENA2
B9J08_002173	atpase; ptype; efflux; potassiumsodium; sodium; fungaltype; enap; yjm; transport; fusarium	TRUE	CAL0005183	orthoMCL_blastx	orf19.6070	CAL0000188030	ENA2
B9J08_004689	haca; complex; subunit; ribonucleoprotein; like; lelike; partial; nhp; ribosomal; penicillium	TRUE	CAL0000123	orthoMCL_blastx	orf19.526	CAL0000183079	NHP2
B9J08_004681	shortchain; dehydrogenasereductase; dehydrogenase; family; nadpbinding; retinal; chain; short; colletotrichum; reductase	TRUE	CAL0003030	orthoMCL_blastx	orf19.6502	CAL0000196364	
B9J08_004671	mitochondrial; import; factor; cytochrome; cyc; cycp; yjm; oxidoreductase; reductaselike; fadbinding	TRUE	CAL0000385	orthoMCL_blastx	orf19.4294	CAL0000191400	
B9J08_004668	ribosomal; mitochondrial; yml; mrpl; domaincontaining; mitochondriallike; colletotrichum; subunit; plasmodium; mdraft	TRUE	CAL0001458	orthoMCL_blastx	orf19.3064	CAL0000184130	MRPL27
B9J08_004666	oxidase; daminoacid; fusarium; penicillium; acid; damino; oxidoreductase; dependent; fad; pseudogymnoascus	TRUE	CAL0001460	orthoMCL_blastx	orf19.3065	CAL0000179499	DAO1
B9J08_004665	golgi; reassembly; stacking; reassemblystacking; grasp; grhp; family; penicillium; yjm; pseudogymnoascus	TRUE	CAL0000654	orthoMCL_blastx	orf19.71	CAL0000183593	
B9J08_004663	kinase; mak; carbohydrate; pfkb; ribokinaselike; family; penicillium; pseudogymnoascus; makp; colletotrichum	TRUE	CAL0002767	orthoMCL_blastx	orf19.4548	CAL0000179624	MAK32
B9J08_004658	ubiquitinconjugating; enzyme; like; isoform; kda; kdalike; partial; ubiquitin; gossypium; subsp	TRUE	CAL0002753	orthoMCL_blastx	orf19.4540	CAL0000197909	UBC8
B9J08_004657	proteasome; subunit; regulatory; nonatpase; homolog; pcidomaincontaining; rpn; isoform; like; rpnp	TRUE	CAL0003998	orthoMCL_blastx	orf19.7286	CAL0000177306	RPN7
B9J08_004653	actinlike; actin; actinrelated; arp; actinactinlike; binding; complex; penicillium; subunit; colletotrichum	TRUE	CAL0004013	orthoMCL	orf19.7292	CAL0000193205	ARP2
B9J08_005498	hydrolase; esterase; alphabeta; esteraselipase; alphabetahydrolase; acetylhydrolase; lipase; acetyl; mycobacterium; staphylococcus	TRUE	CAL0004129	orthoMCL_blastx	orf19.6681	CAL0000196568	
B9J08_004652	kinase; ttk; serinethreonineprotein; checkpoint; kinaselike; mps; penicillium; fusarium; mpsp; partial	TRUE	CAL0004016	orthoMCL_blastx	orf19.7293	CAL0000200652	MPS1
B9J08_004651	metalloprotease; zinc; fusarium; yjm; hyjmo; penicillium; oxysporum; peptidase; inactive; pseudogymnoascus	TRUE	CAL0004149	orthoMCL_blastx	orf19.6693	CAL0000177908	
B9J08_004648	protease; serine; subtilisinlike; proteinase; cerevisin; yjm; prbp; vacuolar; penicillium; partial	TRUE	CAL0003166	orthoMCL_blastx	orf19.7196	CAL0000175297	
B9J08_004647	enzyme; ubiquitinconjugating; isoform; kda; ubiquitin; partial; conjugating; ligase; alike; ubc	TRUE	CAL0003164	orthoMCL_blastx	orf19.7195	CAL0000194082	RAD6
B9J08_004639	kinase; lkh; kinaselike; dual; specificity; cmgcclk; knsp; yjm; penicillium; pseudogymnoascus	TRUE	CAL0006406	orthoMCL_blastx	orf19.4979	CAL0000194707	KNS1
B9J08_004633	mitochondrial; carrier; calciumbinding; aralar; transporter; aspartateglutamate; penicillium; agcp; fusarium; pseudogymnoascus	TRUE	CAL0006367	orthoMCL_blastx	orf19.4966	CAL0000181319	AGC1
B9J08_004630	pore; complex; nuclear; nupnup; isoform; nucleoporin; nup; nupp; yjm; cryptococcus	TRUE	CAL0000016	orthoMCL_blastx	orf19.4987	CAL0000193504	NUP49
B9J08_004627	rnabinding; pumilio; binding; rna; repeatcontaining; fusarium; arm; domaincontaining; pumiliofamily; oxysporum	TRUE	CAL0000028	orthoMCL_blastx	orf19.4991	CAL0000185028	MPT5
B9J08_004619	transcription; factor; elongation; sii; tfiis; pseudogymnoascus; penicillium; fusarium; dstp; colletotrichum	TRUE	CAL0002729	orthoMCL_blastx	orf19.4537	CAL0000174383	
B9J08_004617	ptrp; yjm; component; ptr; spssensor; zygosaccharomyces; lachancea; sensor; kluyveromyces; hanseniaspora	TRUE	CAL0002725	orthoMCL_blastx	orf19.4535	CAL0000187245	PTR3
B9J08_004720	phosphatase; phosphatases; myotubularinrelated; myotubularin; phosphoinositide; isoform; cryptococcus; partial; ymrp; phosphate	TRUE	CAL0004451	orthoMCL_blastx	orf19.4744	CAL0000182833	
B9J08_004721	atpase; elevated; lactation; partial; mitochondrial; isoform; afg; afglike; fusarium; family	TRUE	CAL0004449	orthoMCL_blastx	orf19.4743	CAL0000193419	AFG1
B9J08_004611	nucleoporin; nupp; sonb; yjm; nup; fusarium; nuclear; penicillium; oxysporum; pseudogymnoascus	TRUE	CAL0001840	orthoMCL_blastx	orf19.748	CAL0000193782	
B9J08_004608	vacuolar; repeatcontaining; arm; penicillium; fusarium; vac; armadillo; pseudogymnoascus; membrane; repeat	TRUE	CAL0001835	orthoMCL_blastx	orf19.745	CAL0000185656	VAC8
B9J08_004605	septin; cell; division; control; spn; binding; gtp; penicillium; cdcp; aspa	TRUE	CAL0000744	orthoMCL_blastx	orf19.5691	CAL0000177264	CDC11
B9J08_004603	lccl; domain; domaincontaining; containing; colletotrichum; penicillium; hyjmi; yjm; pseudogymnoascus; yilc	TRUE	CAL0001534	orthoMCL_blastx	orf19.5780	CAL0000174472	
B9J08_004598	nuclear; small; ribonucleoprotein; prp; prpdomaincontaining; factor; premrna; processing; penicillium; partial	TRUE	CAL0003600	orthoMCL_blastx	orf19.910	CAL0000177949	PRP3
B9J08_004596	mus; endonuclease; junction; crossover; dna; repair; isoform; penicillium; fusarium; musp	TRUE	CAL0000062	orthoMCL_blastx	orf19.4206	CAL0000174024	
B9J08_004594	nuclear; envelope; nucleoporin; ndc; ndcp; ndcnup; yjm; pseudogymnoascus; fusarium; colletotrichum	TRUE	CAL0000057	orthoMCL_blastx	orf19.4203	CAL0000193069	
B9J08_004588	gtpbinding; rasrelated; isoform; partial; alike; gtr; domain; small; drosophila; binding	TRUE	CAL0000319	orthoMCL_blastx	orf19.3617	CAL0000174018	GTR1
B9J08_004587	squalene; synthase; farnesyldiphosphate; farnesyltransferase; synthetase; penicillium; pseudogymnoascus; farnesyl; partial; fusarium	TRUE	CAL0000316	orthoMCL_blastx	orf19.3616	CAL0000181444	ERG9
B9J08_004581	rasrelated; rab; gtpase; raba; small; ypt; raslike; gtpbinding; monomeric; rabalike	TRUE	CAL0006268	orthoMCL_blastx	orf19.2245	CAL0000178686	YPT72
B9J08_004684	rcop; finger; yjm; deacetylase; histone; phdfinger; phd; domaincontaining; complex; subunit	TRUE	CAL0003038	orthoMCL_blastx	orf19.6506	CAL0000176784	
B9J08_004685	proliferationassociated; glike; partial; dnabinding; kda; curved; isoform; metallopeptidase; low; quality	TRUE	CAL0003041	orthoMCL_blastx	orf19.6507	CAL0000194232	
B9J08_005541	rcop; finger; yjm; deacetylase; histone; phdfinger; phd; domaincontaining; complex; subunit	TRUE	CAL0003038	orthoMCL_blastx	orf19.6506	CAL0000176784	
B9J08_005542	proliferationassociated; glike; dnabinding; partial; curved; kda; isoform; sinocyclocheilus; low; quality	TRUE	CAL0003041	orthoMCL_blastx	orf19.6507	CAL0000194232	
B9J08_004580	smr; domaincontaining; dufdomaincontaining; partial; domain; fusarium; penicillium; pseudogymnoascus; cytoplasmic; colletotrichum	TRUE	CAL0006270	orthoMCL_blastx	orf19.2246	CAL0000181279	
B9J08_004578	dna; brct; partial; domaincontaining; dpb; replication; regulator; checkpoint; control; rad	TRUE	CAL0004555	orthoMCL_blastx	orf19.1434	CAL0000188846	
B9J08_004571	rsc; complex; subunit; chromatin; structureremodeling; remodeling; penicillium; fusarium; rscp; partial	TRUE	CAL0001606	orthoMCL_blastx	orf19.2473	CAL0000183791	
B9J08_004569	prefoldin; subunit; alpha; probable; drosophila; pseudogymnoascus; fusarium; var; prefoldindomaincontaining; lachancea	TRUE	CAL0001602	orthoMCL_blastx	orf19.2471	CAL0000194812	GIM5
B9J08_004566	nucleolar; rnaassociated; small; utpp; yjm; required; cell; fusarium; penicillium; domaincontaining	TRUE	CAL0001680	orthoMCL_blastx	orf19.1849	CAL0000179907	
B9J08_004561	glutamine; synthetase; ligase; penicillium; glutamateammonia; colletotrichum; var; partial; pseudogymnoascus; lachancea	TRUE	CAL0001010	orthoMCL_blastx	orf19.646	CAL0000185613	GLN1
B9J08_004557	ankyrin; isoform; simum; mus; musculus; sinensis; pelodiscus; aplysia; californica; titinlike	TRUE	CAL0004407	orthoMCL_blastx	orf19.4728	CAL0000179227	
B9J08_004550	dehydrogenase; glucosephosphate; penicillium; gpd; pseudogymnoascus; zwfp; colletotrichum; fusarium; glucosep; yjm	TRUE	CAL0004479	orthoMCL_blastx	orf19.4754	CAL0000192089	ZWF1
B9J08_004548	assembly; cluster; factor; fes; cytosolic; nar; narfl; isoform; hydrogenase; narp	TRUE	CAL0004486	orthoMCL_blastx	orf19.4757	CAL0000185143	NAR1
B9J08_004542	tyrosine; dehydratase; phosphataselike; phosphatase; verylongchain; ptpladomaincontaining; rhydroxyacylcoa; hydroxy; colletotrichum; penicillium	TRUE	CAL0002593	orthoMCL_blastx	orf19.5156	CAL0000195829	
B9J08_003981	resistance; multidrug; transporter; zygosaccharomyces; mfs; general; substrate; flrp; pseudogymnoascus; benomylmethotrexate	TRUE	CAL0000532	orthoMCL_blastx	orf19.5604	CAL0000173998	MDR1
B9J08_004540	adenylate; cyclase; cyrp; yjm; partial; ppcdomaincontaining; cryptococcus; var; penicillium; rhizopus	TRUE	CAL0002580	orthoMCL_blastx	orf19.5148	CAL0000178292	CYR1
B9J08_004529	alpha; importin; subunit; karyopherin; arm; repeatcontaining; penicillium; var; pseudogymnoascus; armadillotype	TRUE	CAL0000730	orthoMCL_blastx	orf19.5682	CAL0000179212	
B9J08_004526	carboxypeptidase; zinc; metallocarboxypeptidase; ecm; penicillium; ecmp; precursor; fusarium; colletotrichum; extracellular	TRUE	CAL0004123	orthoMCL_blastx	orf19.299	CAL0000185255	ECM14
B9J08_004516	spt; transcription; factor; sptp; complex; penicillium; saga; conserved; fusarium; yjm	TRUE	CAL0005609	orthoMCL_blastx	orf19.422	CAL0000196043	SPT20
B9J08_004510	phosphate; inorganic; pho; transporter; transport; penicillium; pseudogymnoascus; probable; colletotrichum; var	TRUE	CAL0004579	orthoMCL_blastx	orf19.7327	CAL0000189279	PHO88
B9J08_004506	dufdomaincontaining; duf; domaincontaining; penicillium; domain; pbdc; pseudogymnoascus; cytoplasmic; colletotrichum; upf	TRUE	CAL0004574	orthoMCL_blastx	orf19.7322	CAL0000185958	
B9J08_004502	small; nucleolar; utp; subunit; complex; ribonucleoprotein; utpdomaincontaining; rnaassociated; utpp; processome	TRUE	CAL0000085	orthoMCL_blastx	orf19.7552	CAL0000180872	
B9J08_004501	oxidase; darabinonolactone; lactone; sugar; lgulonolactonedarabinonolactone; colletotrichum; pseudogymnoascus; penicillium; alop; fusarium	TRUE	CAL0000083	orthoMCL_blastx	orf19.7551	CAL0000174500	ALO1
B9J08_004500	synthase; hydroxymethylglutarylcoa; penicillium; pseudogymnoascus; hydroxymethylglutaryl; colletotrichum; vkm; trichophyton; fusarium; ergp	TRUE	CAL0004537	orthoMCL_blastx	orf19.7312	CAL0000197068	ERG13
B9J08_004497	reductase; nadhcytochrome; nitrate; ferredoxin; reductaselike; yjm; cytochromeb; pgap; pseudogymnoascus; aimp	TRUE	CAL0004510	orthoMCL_blastx	orf19.7307	CAL0000179322	
B9J08_003610	factor; elongation; alpha; translation; partial; fusarium; beauveria; bassiana; subunit; pseudogymnoascus	TRUE	CAL0004916	orthoMCL_blastx	orf19.382	CAL0000196876	TEF2
B9J08_004579	factor; elongation; alpha; translation; partial; fusarium; beauveria; bassiana; subunit; pseudogymnoascus	TRUE	CAL0004916	orthoMCL_blastx	orf19.382	CAL0000196876	TEF2
B9J08_004493	factor; initiation; translation; tif; subunit; eukaryotic; clustered; mitochondria; fusarium; homolog	TRUE	CAL0000601	orthoMCL_blastx	orf19.51	CAL0000196200	
B9J08_004489	subunit; coatomer; gamma; penicillium; secp; fusarium; pseudogymnoascus; metarhizium; complex; yjm	TRUE	CAL0001871	orthoMCL_blastx	orf19.759	CAL0000193121	SEC21
B9J08_004487	dil; ankyrin; domaincontaining; domain; dilute; containing; penicillium; yjm; hyjmp; allantoicase	TRUE	CAL0001868	orthoMCL_blastx	orf19.757	CAL0000177097	
B9J08_004485	gtpbinding; ychf; atpase; obglike; penicillium; acidbinding; gtpdependent; nucleic; engd; colletotrichum	TRUE	CAL0001864	orthoMCL_blastx	orf19.754	CAL0000180814	YBN5
B9J08_004464	inhibitor; rho; dissociation; gdpdissociation; gdp; set; domaincontaining; rhogdp; penicillium; containing	TRUE	CAL0003409	orthoMCL_blastx	orf19.5968	CAL0000194894	RDI1
B9J08_004463	helicase; dna; pcra; atpdependent; srsp; streptococcus; yjm; srs; partial; iiatpdependent	TRUE	CAL0003422	orthoMCL_blastx	orf19.5970	CAL0000191874	
B9J08_004462	ctype; lectin; domain; penicillium; pseudogymnoascus; capping; telomere; domaincontaining; maintenance; mtcp	TRUE	CAL0003423	orthoMCL_blastx	orf19.5971	CAL0000178984	
B9J08_004461	prohibitin; penicillium; phb; spfh; proteolysis; family; pseudogymnoascus; colletotrichum; var; partial	TRUE	CAL0003424	orthoMCL_blastx	orf19.5973	CAL0000194824	PHB2
B9J08_004460	domain; domaincontaining; containing; lsbp; penicillium; endophilina; shdomaincontaining; yjm; isoform; pinp	TRUE	CAL0003378	orthoMCL_blastx	orf19.5956	CAL0000194220	PIN3
B9J08_004459	synthase; acetolactate; subunit; small; mitochondrial; precursor; iiii; regulatory; penicillium; pseudogymnoascus	TRUE	CAL0003717	orthoMCL_blastx	orf19.4650	CAL0000184099	ILV6
B9J08_003413	transporter; oligopeptide; opt; like; superfamily; family; small; mortierella; colletotrichum; penicillium	TRUE	CAL0000713	orthoMCL_blastx	orf19.5673	CAL0000191307	OPT7
B9J08_003414	helicase; box; rna; atpdependent; deaddeah; fusarium; yjm; hyjml; ucp; containing	TRUE	CAL0005664	orthoMCL_blastx	orf19.6818	CAL0000175865	
B9J08_004456	emergence; bud; bem; kinase; activator; scdral; fusarium; partial; bemp; penicillium	TRUE	CAL0003701	orthoMCL_blastx	orf19.4645	CAL0000181921	BEM1
B9J08_004450	biosynthesis; thiamine; nmt; thip; legionella; pyrimidine; synthase; thi; precursor; enzyme	TRUE	CAL0004576	orthoMCL_blastx	orf19.7324	CAL0000188398	THI13
B9J08_004440	kinase; choline; kinaselike; fusarium; yjm; penicillium; ckip; ekip; oxysporum; partial	TRUE	CAL0000339	orthoMCL_blastx	orf19.6966	CAL0000199671	
B9J08_004439	signal; receptor; peroxisomal; targeting; repeatlike; peroxisome; biosynthesis; peroxin; peroxine; penicillium	TRUE	CAL0000686	orthoMCL_blastx	orf19.89	CAL0000196745	PEX7
B9J08_004438	domaincontaining; domain; cytoplasmic; fusarium; penicillium; pseudogymnoascus; colletotrichum; oxysporum; vkm; meiotically	TRUE	CAL0005023	orthoMCL_blastx	orf19.6008	CAL0000195825	
B9J08_004427	carrier; mitochondrial; fusarium; penicillium; family; pseudogymnoascus; member; colletotrichum; solute; oxysporum	TRUE	CAL0005755	orthoMCL_blastx	orf19.4159	CAL0000186281	
B9J08_004425	mismatch; repair; dna; mlh; mutl; fusarium; penicillium; pseudogymnoascus; mutllike; colletotrichum	TRUE	CAL0005779	orthoMCL_blastx	orf19.4162	CAL0000200670	MLH1
B9J08_004414	subunit; pop; pmrp; ribonuclease; penicillium; pseudogymnoascus; rnase; conserved; mrp; fusarium	TRUE	CAL0005787	orthoMCL_blastx	orf19.4168	CAL0000175247	
B9J08_004413	ribosome; biogenesis; rlp; probable; ribosomal; subunit; fusarium; colletotrichum; partial; var	TRUE	CAL0005882	orthoMCL_blastx	orf19.4191	CAL0000179590	RLP24
B9J08_004412	mitochondrial; tim; import; translocase; subunit; inner; membrane; dnaj; chaperone; partial	TRUE	CAL0005879	orthoMCL_blastx	orf19.4190	CAL0000200634	PAM18
B9J08_002737	dehydrogenase; succinatesemialdehyde; semialdehyde; nadp; succinate; penicillium; succinic; fusarium; colletotrichum; naddependent	TRUE	CAL0004793	orthoMCL_blastx	orf19.345	CAL0000178220	
B9J08_004659	dehydrogenase; succinatesemialdehyde; semialdehyde; nadp; naddependent; penicillium; succinate; succinic; glutaratesemialdehyde; pseudogymnoascus	TRUE	CAL0002758	orthoMCL_blastx	orf19.4543	CAL0000192412	UGA2
B9J08_004409	rhodaneselike; phosphatase; ych; cdclike; penicillium; ibp; cdc; conserved; fusarium; colletotrichum	TRUE	CAL0005856	orthoMCL_blastx	orf19.4185	CAL0000188755	
B9J08_004408	cytidylyltransferase; cholinephosphate; partial; transferase; phosphorylcholine; penicillium; pctp; yjm; fusarium; pseudogymnoascus	TRUE	CAL0005857	orthoMCL_blastx	orf19.4186	CAL0000199421	PCT1
B9J08_004407	mitochondrial; morphology; maintenance; mmm; membrane; outer; penicillium; partial; colletotrichum; pseudogymnoascus	TRUE	CAL0005858	orthoMCL_blastx	orf19.4187	CAL0000191719	MMM1
B9J08_004406	kinase; tpregulating; bud; kinaselike; serinethreonineprotein; complex; ekckeops; subunit; isoform; budlike	TRUE	CAL0000253	orthoMCL_blastx	orf19.4252	CAL0000190041	
B9J08_004403	membrane; inner; mitochondrial; cox; isoform; partial; coxlike; coxp; oxal; oxa	TRUE	CAL0002981	orthoMCL_blastx	orf19.3946	CAL0000175771	
B9J08_004401	atpase; aaa; family; ytap; yjm; aaadomaincontaining; fusarium; yta; penicillium; tatbinding	TRUE	CAL0002985	orthoMCL_blastx	orf19.3949	CAL0000181847	
B9J08_004399	yipdomaincontaining; yip; yipf; membrane; golgi; partial; transport; trichinella; penicillium; domaincontaining	TRUE	CAL0003009	orthoMCL_blastx	orf19.3951	CAL0000200757	TIP1
B9J08_004398	phosphodiesterase; gde; glycerophosphodiester; glycerophosphocholine; gdep; yjm; diester; glycerophosphoryl; penicillium; gdpddomaincontaining	TRUE	CAL0002940	orthoMCL_blastx	orf19.3936	CAL0000191313	GDE1
B9J08_004397	tiplike; phosphatase; tip; type; activator; tipa; tipdomaincontaining; pathway; tor; penicillium	TRUE	CAL0002943	orthoMCL_blastx	orf19.3937	CAL0000185540	TIP41
