geneId	position	strand	description
B9J08_000001	scaffold00004:3362-4522	+	hypothetical protein
B9J08_000002	scaffold00004:6653-8581	+	hypothetical protein
B9J08_000003	scaffold00004:9601-11205	-	hypothetical protein
B9J08_000004	scaffold00004:11986-12660	+	hypothetical protein
B9J08_000005	scaffold00004:13716-14324	+	hypothetical protein
B9J08_000006	scaffold00004:14507-15319	+	hypothetical protein
B9J08_000007	scaffold00004:15867-17213	-	hypothetical protein
B9J08_000008	scaffold00004:18627-20405	-	hypothetical protein
B9J08_000009	scaffold00004:20879-22255	-	hypothetical protein
B9J08_000010	scaffold00004:24436-26298	+	hypothetical protein
B9J08_000011	scaffold00004:26758-30399	+	hypothetical protein
B9J08_000012	scaffold00004:30414-31385	-	ribose-phosphate pyrophosphokinase 4
B9J08_000013	scaffold00004:31682-33448	-	dihydroxy-acid dehydratase%2C mitochondrial
B9J08_000014	scaffold00004:35455-37227	+	hypothetical protein
B9J08_000015	scaffold00004:37837-39132	+	homocitrate synthase%2C mitochondrial
B9J08_000016	scaffold00004:39735-42545	-	hypothetical protein
B9J08_000017	scaffold00004:42709-44604	-	hypothetical protein
B9J08_000018	scaffold00004:45482-48889	+	hypothetical protein
B9J08_000019	scaffold00004:51614-52690	-	hypothetical protein
B9J08_000020	scaffold00004:54031-55981	+	ATP synthase subunit alpha%2C mitochondrial
B9J08_000021	scaffold00004:56212-57663	+	hypothetical protein
B9J08_000022	scaffold00004:57805-58566	+	hypothetical protein
B9J08_000023	scaffold00004:58583-61180	-	aminopeptidase 2
B9J08_000024	scaffold00004:62472-62897	-	hypothetical protein
B9J08_000025	scaffold00004:63157-63899	-	hypothetical protein
B9J08_000026	scaffold00004:64697-65602	-	hypothetical protein
B9J08_000027	scaffold00004:65993-66782	-	hypothetical protein
B9J08_000028	scaffold00004:67244-69280	+	hypothetical protein
B9J08_000029	scaffold00004:70429-71274	+	hypothetical protein
B9J08_000030	scaffold00004:73212-74045	-	hypothetical protein
B9J08_000031	scaffold00004:75420-76643	-	hypothetical protein
B9J08_000032	scaffold00004:76885-79317	-	hypothetical protein
B9J08_000033	scaffold00004:81527-83089	+	hypothetical protein
B9J08_000034	scaffold00004:83616-84602	-	hypothetical protein
B9J08_000035	scaffold00004:85711-86541	+	hypothetical protein
B9J08_000036	scaffold00004:87190-88029	+	hypothetical protein
B9J08_000037	scaffold00004:88339-91479	+	hypothetical protein
B9J08_000038	scaffold00004:91564-91773	-	ribosomal protein L33
B9J08_000039	scaffold00004:92509-93147	+	hypothetical protein
B9J08_000040	scaffold00004:93149-95092	-	hypothetical protein
B9J08_000041	scaffold00004:95228-95914	-	hypothetical protein
B9J08_000042	scaffold00004:96068-97012	+	hypothetical protein
B9J08_000043	scaffold00004:97444-99981	+	hypothetical protein
B9J08_000044	scaffold00004:100488-103847	+	hypothetical protein
B9J08_000045	scaffold00004:103891-107106	-	ISWI chromatin-remodeling complex ATPase ISW2
B9J08_000046	scaffold00004:107511-108623	-	uracil-DNA glycosylase
B9J08_000047	scaffold00004:108971-110038	-	hypothetical protein
B9J08_000048	scaffold00004:110240-111454	-	hypothetical protein
B9J08_000049	scaffold00004:111983-112801	-	hypothetical protein
B9J08_000050	scaffold00004:113741-114541	-	hypothetical protein
B9J08_000051	scaffold00004:115435-116133	+	mitochondrial genome maintenance protein MGM101
B9J08_000052	scaffold00004:116280-116870	-	hypothetical protein
B9J08_000053	scaffold00004:118060-118581	+	hypothetical protein
B9J08_000054	scaffold00004:118734-120224	+	hypothetical protein
B9J08_000055	scaffold00004:120331-121410	+	hypothetical protein
B9J08_000056	scaffold00004:121451-125992	-	hypothetical protein
B9J08_000057	scaffold00004:126207-126941	-	pyridoxal 5'-phosphate synthase%2C glutaminase subunit Pdx2
B9J08_000058	scaffold00004:128277-129155	+	pyridoxine biosynthesis protein SNZ1
B9J08_000059	scaffold00004:129233-129754	-	hypothetical protein
B9J08_000060	scaffold00004:130070-134221	-	hypothetical protein
B9J08_000061	scaffold00004:135131-135716	-	hypothetical protein
B9J08_000062	scaffold00004:136661-139657	+	hypothetical protein
B9J08_000063	scaffold00004:139953-140801	+	proteasome subunit beta type-5
