gene	Pos	Strand	is_TF	is_SM_gene	SM_cluster
AN0004	ChrVIII_A_nidulans_FGSC_A4:4914421-4920271	+	FALSE	FALSE	NA
AN0005	ChrVIII_A_nidulans_FGSC_A4:4911502-4912178	-	FALSE	FALSE	NA
AN0006	ChrVIII_A_nidulans_FGSC_A4:4910598-4911218	-	FALSE	FALSE	NA
AN0007	ChrVIII_A_nidulans_FGSC_A4:4909380-4910315	+	FALSE	FALSE	NA
AN0008	ChrVIII_A_nidulans_FGSC_A4:4907221-4908728	+	FALSE	FALSE	NA
AN0009	ChrVIII_A_nidulans_FGSC_A4:4900217-4904393	+	FALSE	FALSE	NA
AN0010	ChrVIII_A_nidulans_FGSC_A4:4897622-4899199	-	FALSE	FALSE	NA
AN0011	ChrVIII_A_nidulans_FGSC_A4:4894570-4896034	-	FALSE	FALSE	NA
AN0012	ChrVIII_A_nidulans_FGSC_A4:4890306-4891143	-	FALSE	FALSE	NA
AN0013	ChrVIII_A_nidulans_FGSC_A4:4884695-4886411	-	FALSE	FALSE	NA
AN0014	ChrVIII_A_nidulans_FGSC_A4:4882458-4883659	+	FALSE	FALSE	NA
AN0015	ChrVIII_A_nidulans_FGSC_A4:4871099-4876233	+	FALSE	TRUE	SM_cluster_01
AN0016	ChrVIII_A_nidulans_FGSC_A4:4850517-4868710	-	FALSE	TRUE	SM_cluster_01
AN0017	ChrVIII_A_nidulans_FGSC_A4:4849025-4849885	+	FALSE	TRUE	SM_cluster_01
AN0018	ChrVIII_A_nidulans_FGSC_A4:4846514-4848316	-	FALSE	FALSE	NA
AN0019	ChrVIII_A_nidulans_FGSC_A4:4843902-4845381	-	FALSE	TRUE	SM_cluster_01
AN0020	ChrVIII_A_nidulans_FGSC_A4:4841991-4842598	+	FALSE	TRUE	SM_cluster_01
AN0021	ChrVIII_A_nidulans_FGSC_A4:4839820-4840539	-	FALSE	TRUE	SM_cluster_01
AN0022	ChrVIII_A_nidulans_FGSC_A4:4837519-4838574	-	FALSE	TRUE	SM_cluster_01
AN0023	ChrVIII_A_nidulans_FGSC_A4:4834545-4835927	+	FALSE	TRUE	SM_cluster_01
AN0024	ChrVIII_A_nidulans_FGSC_A4:4831870-4833284	+	FALSE	TRUE	SM_cluster_01
AN0025	ChrVIII_A_nidulans_FGSC_A4:4829757-4831697	+	FALSE	TRUE	SM_cluster_01
AN0026	ChrVIII_A_nidulans_FGSC_A4:4827068-4829243	-	TRUE	TRUE	SM_cluster_01
AN0027	ChrVIII_A_nidulans_FGSC_A4:4825303-4827007	+	FALSE	TRUE	SM_cluster_01
AN0028	ChrVIII_A_nidulans_FGSC_A4:4823700-4824915	+	FALSE	TRUE	SM_cluster_01
AN0029	ChrVIII_A_nidulans_FGSC_A4:4821465-4823218	-	FALSE	TRUE	SM_cluster_01
AN0030	ChrVIII_A_nidulans_FGSC_A4:4814162-4815730	-	FALSE	FALSE	NA
AN0031	ChrVIII_A_nidulans_FGSC_A4:4812356-4813941	-	FALSE	FALSE	NA
AN0032	ChrVIII_A_nidulans_FGSC_A4:4811392-4811990	+	FALSE	FALSE	NA
AN0033	ChrVIII_A_nidulans_FGSC_A4:4809845-4811081	-	FALSE	FALSE	NA
AN0034	ChrVIII_A_nidulans_FGSC_A4:4806823-4808957	+	FALSE	FALSE	NA
AN0035	ChrVIII_A_nidulans_FGSC_A4:4801809-4803600	-	FALSE	FALSE	NA
AN0036	ChrVIII_A_nidulans_FGSC_A4:4800069-4801219	-	FALSE	FALSE	NA
AN0038	ChrVIII_A_nidulans_FGSC_A4:4781787-4791192	-	FALSE	FALSE	NA
AN0039	ChrVIII_A_nidulans_FGSC_A4:4779625-4781285	-	FALSE	FALSE	NA
AN0040	ChrVIII_A_nidulans_FGSC_A4:4775705-4779402	+	FALSE	FALSE	NA
AN0041	ChrVIII_A_nidulans_FGSC_A4:4774332-4774603	-	FALSE	FALSE	NA
AN0042	ChrVIII_A_nidulans_FGSC_A4:4772054-4774196	-	FALSE	FALSE	NA
AN0043	ChrVIII_A_nidulans_FGSC_A4:4770281-4771612	+	FALSE	FALSE	NA
AN0044	ChrVIII_A_nidulans_FGSC_A4:4766351-4770007	-	FALSE	FALSE	NA
AN0045	ChrVIII_A_nidulans_FGSC_A4:4764690-4766340	+	FALSE	FALSE	NA
AN0046	ChrVIII_A_nidulans_FGSC_A4:4762463-4764534	+	FALSE	FALSE	NA
AN0048	ChrVIII_A_nidulans_FGSC_A4:4755855-4758392	-	FALSE	FALSE	NA
AN0049	ChrVIII_A_nidulans_FGSC_A4:4754459-4755589	+	FALSE	FALSE	NA
AN0050	ChrVIII_A_nidulans_FGSC_A4:4748945-4750227	+	FALSE	FALSE	NA
AN0051	ChrVIII_A_nidulans_FGSC_A4:4747226-4748642	-	FALSE	FALSE	NA
AN0052	ChrVIII_A_nidulans_FGSC_A4:4745078-4747353	+	FALSE	FALSE	NA
AN0053	ChrVIII_A_nidulans_FGSC_A4:4744955-4745899	-	FALSE	FALSE	NA
AN0054	ChrVIII_A_nidulans_FGSC_A4:4739879-4742742	+	FALSE	FALSE	NA
AN0055	ChrVIII_A_nidulans_FGSC_A4:4736133-4738059	-	FALSE	FALSE	NA
AN0056	ChrVIII_A_nidulans_FGSC_A4:4733514-4735853	+	FALSE	FALSE	NA
AN0057	ChrVIII_A_nidulans_FGSC_A4:4728000-4729467	-	FALSE	FALSE	NA
AN0058	ChrVIII_A_nidulans_FGSC_A4:4726362-4727612	+	FALSE	FALSE	NA
AN0059	ChrVIII_A_nidulans_FGSC_A4:4724344-4725765	-	FALSE	FALSE	NA
AN0061	ChrVIII_A_nidulans_FGSC_A4:4718182-4719638	-	FALSE	FALSE	NA
AN0062	ChrVIII_A_nidulans_FGSC_A4:4717613-4718693	+	FALSE	FALSE	NA
AN0063	ChrVIII_A_nidulans_FGSC_A4:4714884-4717317	-	FALSE	FALSE	NA
AN0064	ChrVIII_A_nidulans_FGSC_A4:4713118-4714742	-	FALSE	FALSE	NA
AN0065	ChrVIII_A_nidulans_FGSC_A4:4711554-4713788	+	FALSE	FALSE	NA
