qseqid	nhits	minBitscore	maxBitscore	frequentWords
B9J08_000001	16	40	734	burtonii; hypbudraft; hyphopichia; cyberlindnera; jadinii; arrestin; domaincontaining; arabinofermentans; canardraft; product
B9J08_000002	501	67.4	1213	transporter; iron; siderophore; general; substrate; mfs; facilitator; major; siderophoreiron; superfamily
B9J08_000003	779	40.4	971	transporter; zinc; fusarium; zinciron; zip; oxysporum; permease; penicillium; zincregulated; pseudogymnoascus
B9J08_000004	452	38.1	160	transporter; fusarium; zinc; zip; oxysporum; zinciron; zincregulated; pseudogymnoascus; colletotrichum; penicillium
B9J08_000005	2	38.9	192	
B9J08_000006	3	21.6	476	auk; bacterium; nitrospirae
B9J08_000007	506	40	457	craltrio; domaincontaining; transfer; domain; phosphatidylinositol; penicillium; csr; fusarium; csrp; colletotrichum
B9J08_000008	588	40.8	1200	reductase; transmembrane; component; ferric; frep; metalloreductase; like; fusarium; penicillium; colletotrichum
B9J08_000009	506	193	926	ceramide; glucosyltransferase; family; glycosyltransferase; fusarium; penicillium; pseudogymnoascus; colletotrichum; vkm; cryptococcus
B9J08_000010	500	466	1260	carnitine; oacetyltransferase; transferase; acetyl; acyltransferase; choactasecotcpt; mitochondrial; catp; fusarium; yjm
B9J08_000011	705	42	2477	autophagyrelated; fusarium; oxysporum; factor; atgp; tazinteracting; yjm; penicillium; taf; colletotrichum
B9J08_000012	500	421	662	ribosephosphate; pyrophosphokinase; isoform; phosphoribosyl; synthetase; prs; diphosphokinase; lachancea; chain; penicillium
B9J08_000013	501	655	1141	dehydratase; dihydroxyacid; mitochondrial; penicillium; pseudogymnoascus; colletotrichum; fusarium; acid; dihydroxy; vkm
B9J08_000014	43	42	473	conserved; cicc; intermedia; debaryomyces; guilliermondii; meyerozyma; pgug; dokdonia; hupe; urej
B9J08_000015	501	529	875	synthase; homocitrate; mitochondrial; lysp; precursor; penicillium; yjm; lachancea; colletotrichum; lys
B9J08_000016	780	41.6	1778	syg; signal; transduction; exs; family; penicillium; pseudogymnoascus; partial; colletotrichum; metarhizium
B9J08_000017	743	46.6	1276	phosphatase; dual; specificity; catalytic; domain; fusarium; pseudogymnoascus; domaincontaining; colletotrichum; penicillium
B9J08_000018	500	1064	2270	atpase; ptype; phospholipidtranslocating; phospholipidtransporting; neo; penicillium; pseudogymnoascus; neop; fusarium; flippase
B9J08_000019	39	40.4	682	cicc; intermedia; bicuspidata; guilliermondii; meyerozyma; pgug; debaryomyces; conserved; jaculus; clavispora
B9J08_000020	500	784	940	alpha; atp; synthase; subunit; mitochondrial; chain; precursor; atpase; penicillium; colletotrichum
B9J08_000021	43	44.7	879	cicc; intermedia; debaryomyces; conserved; komagataella; clavispora; clug; lusitaniae; bicuspidata; guilliermondii
B9J08_000022	90	38.9	518	rmdp; yjm; sporulation; hanseniaspora; biofilminduced; rmd; conserved; guilliermondii; wickerhamomyces; cyberlindnera
B9J08_000023	500	852	1773	aminopeptidase; yjm; apep; aapp; penicillium; fusarium; pseudogymnoascus; mitochondrial; yscii; vkm
B9J08_000024	500	41.2	290	rhodaneselike; arsenate; reductase; fusarium; sulfurtransferase; domaincontaining; arc; penicillium; oxysporum; streptomyces
B9J08_000025	500	146	366	peptidylprolyl; isomerase; cistrans; ssp; rotamasedomaincontaining; nimainteracting; penicillium; colletotrichum; pin; pseudogymnoascus
B9J08_000026	500	230	565	kinase; uridylate; umpcmp; cytidylate; adenylate; penicillium; ura; colletotrichum; pseudogymnoascus; partial
B9J08_000027	501	133	320	shortchain; dehydrogenase; nadpbinding; oxidoreductase; dehydrogenasereductase; penicillium; yjm; partial; reductase; ircp
B9J08_000028	710	41.6	1246	ribonuclease; subunit; polyaspecific; pan; pabdependent; penicillium; altname; pseudogymnoascus; complex; cryptococcus
B9J08_000029	501	62.8	464	cyclin; gsspecific; pcl; pas; partial; penicillium; fusarium; rhizopus; microsporus; absidia
B9J08_000030	26	40.8	264	cicc; intermedia; bicuspidata; debaryomyces; guilliermondii; meyerozyma; pgug; metbidraft; metschnikowia; var
B9J08_000031	510	47.8	514	nucleosome; assembly; nap; like; napp; napdomaincontaining; penicillium; pseudogymnoascus; yjm; colletotrichum
B9J08_000032	500	493	1642	peroxisomal; transporter; abc; fatty; acid; longchain; import; atpbinding; cassette; pxa
B9J08_000033	501	53.9	994	transporter; allantoate; permease; mfs; dgalactonate; lachancea; penicillium; pichia; dalp; general
B9J08_000034	685	39.3	611	mitochondrial; oxaloacetate; carrier; transport; transporter; family; member; solute; pseudogymnoascus; fusarium
