trans_id	gene_id	locus	Prod_name	Pfam	KeggEC	GO	KeggPathways	sigP3	sigP4	TmHMM	TopKeggBlast
B9J08_000001T0	B9J08_000001	B9J08_000001	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_000002T0	B9J08_000002	B9J08_000002	 name="hypothetical protein" 	PF07690.11|MFS_1[Major Facilitator Superfamily]	.	GO:0055085;GO:0015343;GO:0016021;GO:0033214;GO:0015891;GO:0005737	.	.	.	TMH:13	.
B9J08_000003T0	B9J08_000003	B9J08_000003	 name="hypothetical protein" 	PF02535.17|Zip[ZIP Zinc transporter]	.	GO:0055085;GO:0046873;GO:0016021;GO:0030001	.	.	.	TMH:8	.
B9J08_000004T0	B9J08_000004	B9J08_000004	 name="hypothetical protein" 	.	.	GO:0055085;GO:0046873;GO:0016021;GO:0030001	.	.	.	.	.
B9J08_000005T0	B9J08_000005	B9J08_000005	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_000006T0	B9J08_000006	B9J08_000006	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_000007T0	B9J08_000007	B9J08_000007	 name="hypothetical protein" 	PF13716.1|CRAL_TRIO_2[Divergent CRAL/TRIO domain];PF00650.15|CRAL_TRIO[CRAL/TRIO domain]	.	GO:0006810;GO:0044424;GO:0031323;GO:0019216	.	.	.	.	.
B9J08_000008T0	B9J08_000008	B9J08_000008	 name="hypothetical protein" 	PF08030.7|NAD_binding_6[Ferric reductase NAD binding domain];PF08022.7|FAD_binding_8[FAD-binding domain];PF01794.14|Ferric_reduct[Ferric reductase like transmembrane component]	.	GO:0006826;GO:0015677;GO:0000293;GO:0016021;EC:1.16.1.7;GO:0055114;GO:0005886	.	.	.	TMH:6	.
B9J08_000009T0	B9J08_000009	B9J08_000009	 name="hypothetical protein" 	PF13641.1|Glyco_tranf_2_3[Glycosyltransferase like family 2];PF13506.1|Glyco_transf_21[Glycosyl transferase family 21]	EC:2.4.1.80[Ceramide glucosyltransferase.]	GO:0006679;EC:2.4.1.80;GO:0030447;GO:0016021;GO:0009405;GO:0008120	.	.	.	TMH:1	.
B9J08_000010T0	B9J08_000010	B9J08_000010	 name="hypothetical protein" 	PF00755.15|Carn_acyltransf[Choline/Carnitine o-acyltransferase]	EC:2.3.1.7[Carnitine O-acetyltransferase.]	EC:2.3.1.7;GO:0005777;GO:0006635;GO:0009437;GO:0044011;GO:0006084;GO:0004092;GO:0045333;GO:0005739;GO:0009405	.	.	.	.	.
B9J08_000011T0	B9J08_000011	B9J08_000011	 name="hypothetical protein" 	PF10377.4|ATG11[Autophagy-related protein 11]	.	GO:0032258;GO:0032947;GO:0005634;GO:0000329;GO:0019898;GO:0030242;GO:0031142;GO:0034727;GO:0000422;GO:0034497;GO:0000407	.	.	.	.	.
B9J08_000012T0	B9J08_000012	B9J08_000012	 name="ribose-phosphate pyrophosphokinase 4" 	PF13793.1|Pribosyltran_N[N-terminal domain of ribose phosphate pyrophosphokinase];PF00156.22|Pribosyltran[Phosphoribosyl transferase domain];PF14572.1|Pribosyl_synth[Phosphoribosyl synthetase-associated domain]	EC:2.7.6.1[Ribose-phosphate diphosphokinase.]	GO:0000287;GO:0016310;GO:0004749;EC:2.7.6.1;GO:0009165;GO:0016301;GO:0005829;GO:0009156	ko00230[Purine metabolism]	.	.	.	.
B9J08_000013T0	B9J08_000013	B9J08_000013	 name="dihydroxy-acid dehydratase%2C mitochondrial" 	PF00920.16|ILVD_EDD[Dehydratase family];TIGR00110[ilvD: dihydroxy-acid dehydratase]	EC:4.2.1.9[Dihydroxy-acid dehydratase.]	GO:0004160;EC:4.2.1.9;GO:0009082	ko00770[Pantothenate and CoA biosynthesis]	.	.	.	.
B9J08_000014T0	B9J08_000014	B9J08_000014	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_000015T0	B9J08_000015	B9J08_000015	 name="homocitrate synthase%2C mitochondrial" 	PF00682.14|HMGL-like[HMGL-like];TIGR02146[LysS_fung_arch: homocitrate synthase]	EC:2.3.3.14[Homocitrate synthase.]	GO:0004410;EC:2.3.3.14;GO:0019878	ko00620[Pyruvate metabolism]	.	.	.	.
B9J08_000016T0	B9J08_000016	B9J08_000016	 name="hypothetical protein" 	PF03105.14|SPX[SPX domain];PF03124.9|EXS[EXS family]	.	GO:0005783;GO:0007165;GO:0005794;GO:0016021;GO:0005886	.	.	.	TMH:8	.
B9J08_000017T0	B9J08_000017	B9J08_000017	 name="hypothetical protein" 	PF10230.4|DUF2305[Uncharacterised conserved protein (DUF2305)];PF07819.8|PGAP1[PGAP1-like protein];PF12697.2|Abhydrolase_6[Alpha/beta hydrolase family];PF00782.15|DSPc[Dual specificity phosphatase, catalytic domain];PF00561.15|Abhydrolase_1[alpha/beta hydrolase fold];PF12695.2|Abhydrolase_5[Alpha/beta hydrolase family]	.	EC:3.1.3.48;GO:0035335;GO:0008138;GO:0004725	.	.	.	.	.
B9J08_000018T0	B9J08_000018	B9J08_000018	 name="hypothetical protein" 	PF13246.1|Hydrolase_like2[Putative hydrolase of sodium-potassium ATPase alpha subunit];PF00702.21|Hydrolase[haloacid dehalogenase-like hydrolase];PF12710.2|HAD[haloacid dehalogenase-like hydrolase];PF00122.15|E1-E2_ATPase[E1-E2 ATPase]	EC:3.6.3.1[Phospholipid-translocating ATPase.]	GO:0000287;EC:3.6.3.1;GO:0005524;GO:0006890;GO:0030137;GO:0000139;GO:0005768;GO:0045332;GO:0007033;GO:0006897;GO:0016021;GO:0004012	.	.	.	TMH:9	.
B9J08_000019T0	B9J08_000019	B9J08_000019	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_000020T0	B9J08_000020	B9J08_000020	 name="ATP synthase subunit alpha%2C mitochondrial" 	PF00306.22|ATP-synt_ab_C[ATP synthase alpha/beta chain, C terminal domain];PF09378.5|HAS-barrel[HAS barrel domain];PF02874.18|ATP-synt_ab_N[ATP synthase alpha/beta family, beta-barrel domain];PF00006.20|ATP-synt_ab[ATP synthase alpha/beta family, nucleotide-binding domain];TIGR00962[atpA: ATP synthase F1, alpha subunit]	EC:3.6.3.14[H(+)-transporting two-sector ATPase.]	GO:0015986;GO:0015991;GO:0005524;GO:0042645;GO:0005754;GO:0046961;GO:0046933	ko05016[Huntington's disease];ko05010[Alzheimer's disease];ko05012[Parkinson's disease]	.	.	.	.
B9J08_000021T0	B9J08_000021	B9J08_000021	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_000022T0	B9J08_000022	B9J08_000022	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
