GID	GENE_NAME	TYPE	ASPGD_ID	DESCRIPTION	KEGG_ID	NCBI_ID
AN0004	AN0004	pseudogene	ASPL0000082218	Possible pseudogene, Gypsy element-related	AN0004.2	2875778
AN0005	AN0005	ORF|Uncharacterized	ASPL0000057382	Ortholog of A. niger CBS 513.88 : An03g02250, Aspergillus tubingensis : Asptu1_0080862, Aspergillus kawachii : Aspka1_0180365, Aspergillus acidus : Aspfo1_0194711 and Aspergillus wentii : Aspwe1_0734587	AN0005.2	2875787
AN0006	AN0006	ORF|Uncharacterized	ASPL0000060569	Ortholog of Neosartorya fischeri NRRL 181 : NFIA_005440, Aspergillus versicolor : Aspve1_0175571, Aspergillus clavatus NRRL 1 : ACLA_062940, ACLA_090730 and Aspergillus sydowii : Aspsy1_0047904	AN0006.2	2875783
AN0007	AN0007	ORF|Uncharacterized	ASPL0000052314	Ortholog of A. nidulans FGSC A4 : AN6322, AN0902 and A. fumigatus Af293 : Afu1g01340, Afu1g15680, Afu3g01640	AN0007.2	2875782
AN0008	CYP669A1P	pseudogene	ASPL0000082036	Possible pseudogene, similar to cytochrome P450	AN0008.2	2875784
AN0009	AN0009	ORF|Uncharacterized	ASPL0000058548	Has domain(s) with predicted catalytic activity, hydrolase activity	AN0009.2	2875788
AN0010	AN0010	pseudogene	ASPL0000082106	Possible pseudogene, similar to amino acid transporter	AN0010.2	2875779
AN0011	AN0011	pseudogene	ASPL0000082284	Possible pseudogene	AN0011.2	2875789
AN0012	AN0012	ORF|Verified	ASPL0000059946	Ortholog of A. fumigatus Af293 : Afu5g10930, A. oryzae RIB40 : AO090701000510, Aspergillus flavus NRRL 3357 : AFL2T_06133 and Neosartorya fischeri NRRL 181 : NFIA_076310	AN0012.2	2875792
AN0013	AN0013	pseudogene	ASPL0000082312	Possible pseudogene	AN0013.2	2875790
AN0014	AN0014	ORF|Uncharacterized	ASPL0000054805	Ortholog of Aspergillus versicolor : Aspve1_0040337, Aspergillus sydowii : Aspsy1_0029973 and Aspergillus terreus NIH2624 : ATET_01744	AN0014.2	2875785
AN0015	AN0015	ORF|Uncharacterized	ASPL0000057995	Has domain(s) with predicted ATP binding, ATPase activity, ATPase activity, coupled to transmembrane movement of substances, nucleoside-triphosphatase activity, nucleotide binding activity and role in transmembrane transport	AN0015.2	2875786
AN0016	AN0016	ORF|Uncharacterized	ASPL0000061128	Putative nonribosomal peptide synthase	AN0016.2	2875793
AN0017	AN0017	ORF|Uncharacterized	ASPL0000052862	Has domain(s) with predicted copper ion binding activity and role in copper ion homeostasis	AN0017.2	2875791
AN0018	AN0018	pseudogene	ASPL0000082096	Possible pseudogene	AN0018.2	2875795
AN0019	AN0019	ORF|Uncharacterized	ASPL0000059105	Protein of unknown function	AN0019.2	2875798
AN0020	AN0020	ORF|Uncharacterized	ASPL0000054235	Ortholog of A. fumigatus Af293 : Afu2g00190, A. niger CBS 513.88 : An15g07480, Aspergillus versicolor : Aspve1_0365574, Aspergillus niger ATCC 1015 : 40853-mRNA and Aspergillus zonatus : Aspzo1_0077270	AN0020.2	2875796
AN0021	AN0021	ORF|Uncharacterized	ASPL0000057378	Ortholog of A. fumigatus Af293 : Afu3g00630, A. niger CBS 513.88 : An01g07950, An14g07300, An01g11330, An06g02140 and A. oryzae RIB40 : AO090010000178, AO090026000311, AO090003000892	AN0021.2	2875799
AN0022	aglA	ORF|Uncharacterized	ASPL0000060555	Putative alpha-1,4-galactosidase	AN0022.2	2875797
AN0023	AN0023	ORF|Uncharacterized	ASPL0000052294	Has domain(s) with predicted oxidoreductase activity and role in metabolic process	AN0023.2	2875800
